ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2025-01-30,26.099999999999998,26.304535,12.020504,0.23295413,4.909012,-0.5999757,-13.53273,10.739488,0.49940056,-1.1528314,11.549175,1.6395417
2025-01-31,26.105,26.55769,19.591087,0.24063005,5.070765,-0.61974514,-13.978638,11.093356,0.5158559,-1.1908175,11.550609,-5.7154155
2025-02-03,26.11,25.968857,18.957838,0.1474276,3.1067224,-0.3797013,-8.564338,6.796603,0.31605116,-0.72958213,11.554908,-5.237075
2025-02-04,27.04,26.239037,11.432703,0.19041044,4.0124936,-0.490404,-11.061289,8.778168,0.40819654,-0.9422933,11.556342,2.3547096
2025-02-05,27.0,26.948723,7.820377,0.19595437,4.1293206,-0.5046825,-11.383347,9.033751,0.42008147,-0.9697289,11.5577755,6.6492248
2025-02-06,27.11,27.064175,12.6483,0.25828955,5.442901,-0.6652273,-15.00451,11.907482,0.55371386,-1.2782099,11.559208,1.6422279
2025-02-07,28.0,26.922867,19.837294,0.26231992,5.5278325,-0.6756076,-15.238642,12.093288,0.5623541,-1.2981553,11.560641,-5.7084565
2025-02-10,27.66,27.236927,18.87233,0.43221542,9.108018,-1.1131753,-25.108181,19.925692,0.92657125,-2.1389253,11.564941,-5.232555
2025-02-11,27.93,27.927715,11.747387,0.47945914,10.1035795,-1.2348518,-27.852655,22.103687,1.0278511,-2.3727226,11.566374,2.3596075
2025-02-12,27.79,27.410103,7.6167316,0.3348697,7.0566645,-0.8624603,-19.453192,15.437926,0.71788424,-1.6571859,11.567808,6.651056
2025-02-13,28.03,26.812092,11.83832,0.37424067,7.886324,-0.96386063,-21.740324,17.25298,0.8022866,-1.852023,11.569242,1.6449064
2025-02-14,27.83,27.343563,20.093935,0.29441214,6.2041078,-0.7582614,-17.102938,13.57278,0.63115245,-1.4569715,11.570675,-5.7053275
2025-02-17,27.55,28.084835,20.585901,0.24582355,5.1802073,-0.6331211,-14.280338,11.332784,0.5269896,-1.2165189,11.574974,-5.231868
2025-02-18,27.66,26.795639,12.572566,0.0600101,1.2645849,-0.15455663,-3.4860964,2.7665434,0.12864797,-0.2969749,11.576408,2.364505
2025-02-19,27.79,27.735222,8.602663,0.19309369,4.069038,-0.49731478,-11.217165,8.90187,0.41394883,-0.95557207,11.577841,6.6468225
2025-02-20,28.03,28.145195,14.634742,0.0628203,1.323804,-0.16179433,-3.649346,2.8960974,0.1346724,-0.31088185,11.579274,1.6358081
2025-02-21,28.48,28.055202,21.775997,0.08608248,1.8140047,-0.22170632,-5.000688,3.9685137,0.1845412,-0.42600054,11.580708,-5.706247
2025-02-24,28.75,28.387836,21.269516,0.1646709,3.4700878,-0.42411155,-9.566031,7.5915413,0.35301682,-0.8149148,11.585007,-5.2409444
2025-02-25,28.72,28.502308,13.38071,0.2499788,5.2677703,-0.6438229,-14.521725,11.524346,0.53589755,-1.2370822,11.58644,2.3597937
2025-02-26,28.38,28.774563,9.301133,0.26199064,5.5208936,-0.6747595,-15.219513,12.078107,0.56164813,-1.2965256,11.587873,6.6537156
2025-02-27,28.48,28.178871,13.760477,0.2532171,5.3360105,-0.6521632,-14.709843,11.6736355,0.5428397,-1.2531078,11.589306,1.6385013
2025-02-28,28.48,27.828842,21.01027,0.20052746,4.2256885,-0.5164605,-11.649005,9.2445755,0.4298851,-0.9923599,11.59074,-5.7150187
2025-03-03,28.31,28.534588,21.109993,0.22671409,4.7775154,-0.58390445,-13.170235,10.451813,0.48602328,-1.121951,11.595039,-5.236421
2025-03-04,28.55,28.214718,13.7964325,0.09926494,2.0917969,-0.25565785,-5.7664814,4.5762424,0.21280137,-0.49123716,11.596474,2.355081
2025-03-05,28.27,28.500675,9.504648,0.1579323,3.3280866,-0.40675625,-9.174576,7.280884,0.33857083,-0.7815672,11.597906,6.6555443
2025-03-06,28.58,28.646992,14.883704,0.11118191,2.3429215,-0.28635013,-6.4587593,5.12563,0.23834865,-0.55021125,11.59934,1.6411881
2025-03-07,29.1,28.96682,22.702757,0.07897907,1.6643153,-0.20341139,-4.588038,3.6410372,0.1693131,-0.39084753,11.600773,-5.7080593
2025-03-10,29.13,29.240849,21.961105,0.19281134,4.063088,-0.49658754,-11.200762,8.888852,0.41334355,-0.95417476,11.605073,-5.231902
2025-03-11,29.23,28.81902,14.185287,0.1419114,2.99048,-0.36549422,-8.243892,6.542299,0.30422565,-0.7022838,11.606506,2.359979
2025-03-12,29.27,29.35601,9.754518,0.28547218,6.0157175,-0.7352366,-16.583601,13.160638,0.6119873,-1.4127301,11.607941,6.6513066
2025-03-13,29.03,29.165638,14.327753,0.33827785,7.1284842,-0.87123805,-19.651176,15.595046,0.7251906,-1.674052,11.609373,1.6379809
2025-03-14,29.03,29.161713,21.984955,0.27072558,5.7049646,-0.6972565,-15.726943,12.480801,0.58037394,-1.3397529,11.610806,-5.7069583
2025-03-17,29.23,28.994392,21.83055,0.16691919,3.517466,-0.42990208,-9.69664,7.6951914,0.35783666,-0.82604104,11.615107,-5.2360945
2025-03-18,28.82,28.76276,13.879842,0.19173294,4.040363,-0.49381015,-11.138116,8.839137,0.4110317,-0.94883806,11.616539,2.3648775
2025-03-19,28.51,29.041245,10.245096,0.11112779,2.3417811,-0.28621072,-6.4556155,5.1231346,0.23823263,-0.54994345,11.617973,6.6556697
2025-03-20,28.55,28.50354,15.49281,-0.05303101,-1.1175154,0.1365819,3.080668,-2.4447982,-0.11368638,0.26243713,11.619406,1.6406683
