ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2020-11-24,22.96,23.515774,0.7566263,4.30544,-20.468744,1.4324174,54.14693,-42.483078,1.02929,3.2759168,16.927511,4.5934625
2020-11-25,23.3,23.646553,-7.159884,4.444122,-21.128056,1.4785566,55.89104,-43.851486,1.0624442,3.3814368,16.928444,12.599938
2020-11-26,24.04,23.864012,2.2215228,5.266593,-25.038216,1.7521924,66.23477,-51.96706,1.25907,4.0072374,16.929377,3.1985276
2020-11-27,23.95,25.079184,16.243298,8.46453,-40.241714,2.8161442,106.4533,-83.52207,2.0235925,6.4404793,16.93031,-10.528683
2020-11-30,23.53,24.651875,15.819168,5.2752204,-25.079231,1.7550627,66.34327,-52.052185,1.2611326,4.0138016,16.933105,-9.617464
2020-12-01,23.53,24.31797,0.67310333,7.3298597,-34.84731,2.4386399,92.183235,-72.325935,1.7523297,5.577133,16.934038,4.6028824
2020-12-02,23.42,23.766756,-7.3033786,5.3671904,-25.516472,1.7856611,67.49992,-52.959686,1.2831197,4.08378,16.93497,12.591651
2020-12-03,23.47,24.295006,3.2443256,3.2494693,-15.44849,1.0810965,40.86662,-32.063496,0.7768418,2.4724514,16.935904,3.1802835
2020-12-04,23.5,22.9211,17.305466,-2.814272,13.379493,-0.9363066,-35.393406,27.76927,-0.6728004,-2.141319,16.936836,-10.511863
2020-12-07,24.26,23.318901,15.819111,0.64524597,-3.0676014,0.21467295,8.114871,-6.3668365,0.15425721,0.4909538,16.939632,-9.625403
2020-12-08,24.09,24.448345,1.9803343,3.1822004,-15.128684,1.0587162,40.02062,-31.39973,0.76076007,2.421268,16.940565,4.6123
2020-12-09,24.71,25.754498,-5.193633,4.7907124,-22.775803,1.5938671,60.249905,-47.2714,1.1453027,3.64515,16.941498,12.628906
2020-12-10,24.8,24.538786,3.723634,2.3888693,-11.357061,0.7947753,30.043371,-23.571693,0.57110053,1.8176392,16.94243,3.185723
